MOLREGNO	MOL_TYPE	MOL_CHEMBL_ID	SMILE	ASSAYS	TID	TID_CHEMBL_ID	ACCESION	TAX_ID	STD_TYPE	VALUE_UM	PCHEMBL_VALUE	CLASS
1585482	Small molecule	CHEMBL2436334	CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)c2ccc(C)cc2)c2ccccc2N(Cc2c(OC)ccc3cc(Br)ccc23)C1=O.Cl	2	20130	CHEMBL4198	P98170	9606	IC50	15.153	6.37	0
1614812	Small molecule	CHEMBL3109610	Cc1[nH]c2ccccc2c1C(Nc1ccc(Cl)cc1)c1ccncc1	2	64	CHEMBL1977	P11473	9606	IC50	27.6	4.859999999999999	0
1614799	Small molecule	CHEMBL3109598	COc1ccc(NC(c2ccc(C(F)(F)F)cc2)c2c(C)[nH]c3ccccc23)cc1OC	2	64	CHEMBL1977	P11473	9606	IC50	13.100000000000001	5.01	0
1614826	Small molecule	CHEMBL3109624	Cc1ccc(NC(c2ccccc2Cl)c2c(C)[nH]c3ccccc23)cc1C	2	64	CHEMBL1977	P11473	9606	IC50	6.695	5.5600000000000005	1
1615185	Small molecule	CHEMBL3109980	O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1cc(Cl)c2c(c1)OCCO2	2	11232	CHEMBL3524	P56524	9606	IC50	0.075	7.295	1
1615194	Small molecule	CHEMBL3109989	O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1cncnc1	2	11232	CHEMBL3524	P56524	9606	IC50	10.9	5.225	0
452547	Small molecule	CHEMBL518821	O=C(c1ccc(-c2nc(COc3ccc(-c4nnco4)cc3)no2)s1)C(F)(F)F	2	11232	CHEMBL3524	P56524	9606	IC50	0.135	7.29	1
2228337	Small molecule	CHEMBL4088426	c1ccc(Nc2ccnc3cc(-c4ccncc4)ccc23)cc1	2	100417	CHEMBL4247	Q9UM73	9606	IC50	4.725	5.359999999999999	1
2215244	Small molecule	CHEMBL4075333	CN(C)[C@H]1CC[C@H](Nc2ncnc3[nH]cc(C4CCCO4)c23)CC1	4	19639	CHEMBL3778	Q9NWZ3	9606	IC50	0.9625	6.18	1
2227616	Small molecule	CHEMBL4087705	CN(C)[C@H]1CC[C@H](Nc2ncnc3[nH]c4c(c23)CCC4)CC1	2	19639	CHEMBL3778	Q9NWZ3	9606	IC50	1.055	6.08	1
2219105	Small molecule	CHEMBL4079194	N#Cc1cnc2[nH]cc(C3CCOCC3)c2c1N[C@H]1CC[C@H](N2CCOCC2)CC1	2	19639	CHEMBL3778	Q9NWZ3	9606	IC50	0.178	6.885	1
1586648	Small molecule	CHEMBL2437488	C=CC(=O)Nc1cccc(-n2c(=O)cnc3cnc(Nc4ccccc4)nc32)c1	3	9	CHEMBL203	P00533	9606	IC50	0.009613333333333335	8.053333333333333	1
1588199	Small molecule	CHEMBL2441683	COc1c(F)c[n+](CCCOc2ccc3c(C)cc(=O)oc3c2)cc1F.O=S(=O)([O-])C(F)(F)F	2	93	CHEMBL220	P22303	9606	IC50	1.8	5.744999999999999	1
1615810	Small molecule	CHEMBL3112857	O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2c(-c3cccnc3)cccc21	2	12576	CHEMBL3145	P42338	9606	IC50	0.035	7.525	1
2243112	Small molecule	CHEMBL4103201	C=CC(=O)N1CCC[C@@H](n2nc(-c3cnc4[nH]ccc4c3)c3c(N)ncnc32)C1	3	9	CHEMBL203	P00533	9606	IC50	0.005	8.406666666666666	1
1728339	Small molecule	CHEMBL3221924	O=C(O)/C(S)=C/c1ccccc1Br	2	11602	CHEMBL4062	P35750	9823	IC50	15.05	4.859999999999999	0
1725385	Small molecule	CHEMBL3219000	CC(=O)Nc1cccc(C2CCN(Cc3ccc(Oc4nc5ccccc5n4-c4ccc(F)cc4)cc3)CC2)c1	2	19905	CHEMBL344	Q99705	9606	IC50	0.0305	7.6899999999999995	1
1725662	Small molecule	CHEMBL3219274	CC(=O)Nc1cccc(C2CCN(Cc3ccc(C(=O)c4nc5cccnc5n4-c4ccc(F)cc4)cc3)CC2)c1	2	19905	CHEMBL344	Q99705	9606	IC50	0.0335	7.5649999999999995	1
1736789	Small molecule	CHEMBL3238238	C[C@H](CC(=O)O)NC(=O)c1ccc([C@@H](CCC(C)(C)C)N2C(=O)C(c3cc(Cl)cc(Cl)c3)=N[C@]23CC[C@@H](C(C)(C)C)CC3)cc1	2	146	CHEMBL1985	P47871	9606	IC50	0.325	6.6	1
1731631	Small molecule	CHEMBL3233131	CC[C@@H](CS(=O)(=O)CC(C)(C)C)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1	2	20131	CHEMBL5023	Q00987	9606	IC50	0.009500000000000001	8.375	1
1734722	Small molecule	CHEMBL3236191	CCCS(=O)(=O)Nc1ccc(F)c(Nc2ccc3ncccc3c2)c1F	2	100126	CHEMBL5145	P15056	9606	IC50	3.2825	5.85	1
1623566	Small molecule	CHEMBL3126946	CC(C)(CC(O)(Cc1cc2ncncc2[nH]1)C(F)(F)F)c1ccccc1S(C)(=O)=O	2	25	CHEMBL2034	P04150	9606	IC50	0.0225	7.65	1
1623563	Small molecule	CHEMBL3126943	Cc1ccccc1C(C)(C)CC(O)(Cc1cc2ncncc2[nH]1)C(F)(F)F	2	25	CHEMBL2034	P04150	9606	IC50	0.028499999999999998	7.625	1
1623553	Small molecule	CHEMBL3126933	Cc1ccc(F)cc1C(C)(C)CC(O)(Cc1cc2nc(-c3ccccc3)cnc2[nH]1)C(F)(F)F	2	25	CHEMBL2034	P04150	9606	IC50	0.09050000000000001	7.365	1
1623571	Small molecule	CHEMBL3126951	Cc1ccc(F)cc1C(C)(C)CC(O)(Cc1cc2cnncc2[nH]1)C(F)(F)F	2	25	CHEMBL2034	P04150	9606	IC50	0.004	8.41	1
1623697	Small molecule	CHEMBL3127076	C[C@]12CCOC[C@@H]1[C@]1(COC(N)=N1)c1cc(-c3cncnc3)ccc1O2	2	12252	CHEMBL4822	P56817	9606	IC50	0.3	6.5649999999999995	1
1623701	Small molecule	CHEMBL3127079	CN1C(=O)[C@]2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1O[C@H]1CCOC[C@@]12C	2	12252	CHEMBL4822	P56817	9606	IC50	0.0179	7.855	1
